"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MT2A",-2.49012545454545,11.450793258427,-23.8215893841584,1.59656908572915e-81,1.67884389587277e-79,175.18749281608
"STEAP3",-1.95409232323232,7.47753033707865,-23.8200469689046,1.62264356235759e-81,1.69261195276645e-79,175.171337975815
"GCGR",-1.57624858585859,5.60320674157303,-23.7847333950461,2.35133309781393e-81,2.43325652876157e-79,174.801437976325
"TBCE",1.49193626262627,6.64661797752809,23.7725711006591,2.67178820626138e-81,2.74310601743639e-79,174.674025747464
"CYP3A4",-2.83119585858586,9.78751011235955,-23.7564325691665,3.1654535375559e-81,3.22455849032745e-79,174.504946239531
"RBM34",1.2668803030303,6.99674382022472,23.7220885631326,4.5410310933297e-81,4.58996158340512e-79,174.145086304005
"KLKB1",-2.48862414141414,8.31299325842697,-23.7202789152998,4.62820951520988e-81,4.64209414375551e-79,174.126122903915
"CPEB3",-1.81369676767677,4.67491685393258,-23.6753172947831,7.42376985583095e-81,7.38920115650227e-79,173.654912474435
"GBA3",-3.07337474747475,6.47651011235955,-23.6735455418557,7.56331140492894e-81,7.47106192491428e-79,173.636341846195
"JPT1",1.73253232323232,6.24024494382022,23.5978029305973,1.67694350863789e-80,1.6440350683556e-78,172.84229450174
"EZH2",1.76926484848485,4.77725393258427,23.578084630345,2.06330837690048e-80,2.00570510843165e-78,172.635529815109
"ID1",-2.74724808080809,7.74450561797753,-23.5774731727587,2.07661775932413e-80,2.00570510843165e-78,172.629117801038
"CD4",-1.61149969696969,6.31248314606742,-23.5693754987064,2.2611950752035e-80,2.16792077835136e-78,172.544200244291
"GCDH",-1.76094606060606,7.27260674157303,-23.5524576258389,2.70150205448402e-80,2.57115951010344e-78,172.36677764707
"NEK2",1.79713161616161,4.5369393258427,23.5354231527813,3.23155383926001e-80,3.05335003696459e-78,172.188117794382
"CBX1",1.42221696969697,6.12313483146067,23.4583869065171,7.26703775223621e-80,6.81689965837467e-78,171.379972580436
"MCM3",1.5913095959596,6.12406292134831,23.3944776165497,1.42372779576653e-79,1.32599905207142e-77,170.709316968615
"PRKDC",1.47671848484849,6.05412359550562,23.2437584840619,6.95909880510448e-79,6.43543895884803e-77,169.126933512013
"TUBA1C",1.28148070707071,10.4657078651685,23.2364756628116,7.51386402917865e-79,6.89952627299017e-77,169.050445781333
"C1QTNF1",-1.28887868686869,5.3324606741573,-23.2331889248532,7.77851376835366e-79,7.09259028150793e-77,169.01592608597
"MELK",1.6901301010101,4.67870561797753,23.2302817108514,8.02036583933824e-79,7.26232987355079e-77,168.985392024304
"MT1E",-3.18252828282828,10.6874292134831,-23.206734420735,1.02779183623045e-78,9.24232948455786e-77,168.738064315987
"HAO2",-3.48776616161616,7.9636,-23.2056024189503,1.04012008407365e-78,9.28912724399746e-77,168.72617377808
"MARCO",-1.99871313131313,4.97610561797753,-23.1420688555553,2.03121371799705e-78,1.80170038564378e-76,168.058727978077
"KCNN2",-2.72127585858586,4.89508764044944,-23.1280735747114,2.35394119966782e-78,2.06814953578116e-76,167.911678434617
"PIGC",1.26298565656566,6.37743370786517,23.1276958814724,2.36332756217036e-78,2.06814953578116e-76,167.90770986522
"CKAP5",1.06115656565656,5.44949438202247,23.1004582127195,3.14897658524629e-78,2.73730037966842e-76,167.621497116735
"RFX5",1.46839888888889,6.36669887640449,23.0448694932843,5.65715145537216e-78,4.88500647858262e-76,167.037275448027
"CYP2A6",-4.06446727272728,9.4345595505618,-22.9939745439628,9.67368039367032e-78,8.29836306928074e-76,166.502272198107
"PSMB4",1.0281101010101,9.76307640449438,22.9717260340647,1.22309005276029e-77,1.04234452274127e-75,166.268364871953
"POLR3C",1.08040515151515,5.4630404494382,22.937341712897,1.75754696716245e-77,1.47849386482782e-75,165.906830206752
"HSPB1",1.49839454545455,9.7062606741573,22.9029809547469,2.52503756233513e-77,2.11051056251844e-75,165.545496893165
"DCN",-3.20091585858586,8.88437303370787,-22.8846299513435,3.06420324794041e-77,2.54485007324172e-75,165.352501354416
"CCL14",-1.86976434343434,8.01040898876404,-22.8773057378164,3.31028126723287e-77,2.73182009135756e-75,165.275469774409
"ADAMTSL2",-1.06395474747475,4.53920898876405,-22.8663598640694,3.7153719666342e-77,3.04683868383291e-75,165.160343979332
"GCKR",-1.81564272727273,7.25770112359551,-22.8628039775666,3.85736212341291e-77,3.14350904544881e-75,165.122943128019
"NUP107",1.30093707070707,6.74920898876405,22.8550521570901,4.18599945130305e-77,3.39013955562363e-75,165.041407738175
"ANXA10",-2.48629686868687,7.14344269662921,-22.8414340481906,4.83261311091325e-77,3.88965693538259e-75,164.898163915177
"PSMC4",1.01096373737374,7.60219325842697,22.8353252805943,5.15426237919478e-77,4.12309369093992e-75,164.833905796137
